HostGroup,VirusGenotype,DVGness,DVG_segment
Landfowl (Galliformes),B3.13,0.2248,DVGs_max
Landfowl (Galliformes),B3.13,0.052199999999999996,DVGs_max
Landfowl (Galliformes),B3.13,0.4155,DVGs_max
Landfowl (Galliformes),B3.13,0.6786,DVGs_max
Landfowl (Galliformes),B3.13,0.076,DVGs_max
Landfowl (Galliformes),B3.13,0.0433,DVGs_max
Landfowl (Galliformes),B3.13,0.0018,DVGs_max
Landfowl (Galliformes),B3.13,0.0877,DVGs_max
Landfowl (Galliformes),B3.13,0.0241,DVGs_max
Landfowl (Galliformes),B3.13,0.1346,DVGs_max
Landfowl (Galliformes),B3.13,0.9437000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.10880000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.1582,DVGs_max
Landfowl (Galliformes),B3.13,0.012199999999999999,DVGs_max
Landfowl (Galliformes),B3.13,0.0258,DVGs_max
Landfowl (Galliformes),B3.13,0.013500000000000002,DVGs_max
Landfowl (Galliformes),B3.13,0.7915000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.04769999999999999,DVGs_max
Landfowl (Galliformes),B3.13,0.12539999999999998,DVGs_max
Landfowl (Galliformes),B3.13,0.5424,DVGs_max
Landfowl (Galliformes),B3.13,0.042300000000000004,DVGs_max
Landfowl (Galliformes),B3.13,0.4951,DVGs_max
Landfowl (Galliformes),B3.13,0.07919999999999999,DVGs_max
Landfowl (Galliformes),B3.13,0.6662,DVGs_max
Landfowl (Galliformes),B3.13,0.7683,DVGs_max
Landfowl (Galliformes),B3.13,0.0433,DVGs_max
Landfowl (Galliformes),B3.13,0.5345,DVGs_max
Landfowl (Galliformes),B3.13,0.011000000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.001,DVGs_max
Landfowl (Galliformes),B3.13,0.2422,DVGs_max
Landfowl (Galliformes),B3.13,0.0109,DVGs_max
Landfowl (Galliformes),B3.13,0.9381999999999999,DVGs_max
Landfowl (Galliformes),B3.13,0.13849999999999998,DVGs_max
Landfowl (Galliformes),B3.13,0.1457,DVGs_max
Landfowl (Galliformes),B3.13,0.1378,DVGs_max
Landfowl (Galliformes),B3.13,0.0382,DVGs_max
Landfowl (Galliformes),B3.13,0.044800000000000006,DVGs_max
Landfowl (Galliformes),B3.13,0.25989999999999996,DVGs_max
Landfowl (Galliformes),B3.13,0.6129,DVGs_max
Landfowl (Galliformes),B3.13,0.20379999999999998,DVGs_max
Landfowl (Galliformes),B3.13,0.7617,DVGs_max
Landfowl (Galliformes),B3.13,0.0492,DVGs_max
Landfowl (Galliformes),B3.13,0.0409,DVGs_max
Landfowl (Galliformes),B3.13,0.20379999999999998,DVGs_max
Landfowl (Galliformes),B3.13,0.2266,DVGs_max
Landfowl (Galliformes),B3.13,0.22870000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.703,DVGs_max
Landfowl (Galliformes),B3.13,0.0262,DVGs_max
Landfowl (Galliformes),B3.13,0.0604,DVGs_max
Landfowl (Galliformes),B3.13,0.0139,DVGs_max
Landfowl (Galliformes),B3.13,0.7342,DVGs_max
Landfowl (Galliformes),B3.13,0.1433,DVGs_max
Landfowl (Galliformes),B3.13,0.0487,DVGs_max
Landfowl (Galliformes),B3.13,0.0735,DVGs_max
Landfowl (Galliformes),B3.13,0.4044,DVGs_max
Landfowl (Galliformes),B3.13,0.0102,DVGs_max
Landfowl (Galliformes),B3.13,0.0571,DVGs_max
Landfowl (Galliformes),B3.13,0.0227,DVGs_max
Landfowl (Galliformes),B3.13,0.013600000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.3782,DVGs_max
Landfowl (Galliformes),B3.13,0.15,DVGs_max
Landfowl (Galliformes),B3.13,0.13970000000000002,DVGs_max
Landfowl (Galliformes),B3.13,0.1054,DVGs_max
Landfowl (Galliformes),B3.13,0.0565,DVGs_max
Landfowl (Galliformes),B3.13,0.0151,DVGs_max
Landfowl (Galliformes),B3.13,0.1547,DVGs_max
Landfowl (Galliformes),B3.13,0.16829999999999998,DVGs_max
Landfowl (Galliformes),B3.13,0.0969,DVGs_max
Landfowl (Galliformes),B3.13,0.0364,DVGs_max
Landfowl (Galliformes),B3.13,0.3081,DVGs_max
Landfowl (Galliformes),B3.13,0.0127,DVGs_max
Landfowl (Galliformes),B3.13,0.6231,DVGs_max
Landfowl (Galliformes),B3.13,0.0814,DVGs_max
Landfowl (Galliformes),B3.13,0.0852,DVGs_max
Landfowl (Galliformes),B3.13,0.3588,DVGs_max
Landfowl (Galliformes),B3.13,0.1685,DVGs_max
Landfowl (Galliformes),B3.13,0.3857,DVGs_max
Landfowl (Galliformes),B3.13,0.0103,DVGs_max
Landfowl (Galliformes),B3.13,0.6098,DVGs_max
Landfowl (Galliformes),B3.13,0.1431,DVGs_max
Landfowl (Galliformes),B3.13,0.0105,DVGs_max
Landfowl (Galliformes),B3.13,0.0674,DVGs_max
Landfowl (Galliformes),B3.13,0.6606000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.4285,DVGs_max
Landfowl (Galliformes),B3.13,0.0694,DVGs_max
Landfowl (Galliformes),B3.13,0.24600000000000002,DVGs_max
Landfowl (Galliformes),B3.13,0.0253,DVGs_max
Landfowl (Galliformes),B3.13,0.2401,DVGs_max
Landfowl (Galliformes),B3.13,0.9518000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.0253,DVGs_max
Landfowl (Galliformes),B3.13,0.7389,DVGs_max
Landfowl (Galliformes),B3.13,0.0165,DVGs_max
Landfowl (Galliformes),B3.13,0.0236,DVGs_max
Landfowl (Galliformes),B3.13,0.048499999999999995,DVGs_max
Landfowl (Galliformes),B3.13,0.023799999999999998,DVGs_max
Landfowl (Galliformes),B3.13,0.10460000000000001,DVGs_max
Landfowl (Galliformes),B3.13,0.768,DVGs_max
Landfowl (Galliformes),B3.13,0.0139,DVGs_max
Landfowl (Galliformes),B3.13,0.20420000000000002,DVGs_max
Landfowl (Galliformes),B3.13,0.3274,DVGs_max
Landfowl (Galliformes),D1.1,0.9570000000000001,DVGs_max
Landfowl (Galliformes),D1.1,0.2286,DVGs_max
Landfowl (Galliformes),D1.1,0.9129999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.8805,DVGs_max
Landfowl (Galliformes),D1.1,0.8258,DVGs_max
Landfowl (Galliformes),D1.1,0.5847,DVGs_max
Landfowl (Galliformes),D1.1,0.5559000000000001,DVGs_max
Landfowl (Galliformes),D1.1,0.3986,DVGs_max
Landfowl (Galliformes),D1.1,0.62,DVGs_max
Landfowl (Galliformes),D1.1,0.7951999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.305,DVGs_max
Landfowl (Galliformes),D1.1,0.061799999999999994,DVGs_max
Landfowl (Galliformes),D1.1,0.451,DVGs_max
Landfowl (Galliformes),D1.1,0.6071,DVGs_max
Landfowl (Galliformes),D1.1,0.16829999999999998,DVGs_max
Landfowl (Galliformes),D1.1,0.3518,DVGs_max
Landfowl (Galliformes),D1.1,0.0707,DVGs_max
Landfowl (Galliformes),D1.1,0.5953,DVGs_max
Landfowl (Galliformes),D1.1,0.0944,DVGs_max
Landfowl (Galliformes),D1.1,0.52,DVGs_max
Landfowl (Galliformes),D1.1,0.0209,DVGs_max
Landfowl (Galliformes),D1.1,0.5533,DVGs_max
Landfowl (Galliformes),D1.1,0.698,DVGs_max
Landfowl (Galliformes),D1.1,0.1506,DVGs_max
Landfowl (Galliformes),D1.1,0.2802,DVGs_max
Landfowl (Galliformes),D1.1,0.4142,DVGs_max
Landfowl (Galliformes),D1.1,0.17850000000000002,DVGs_max
Landfowl (Galliformes),D1.1,0.0739,DVGs_max
Landfowl (Galliformes),D1.1,0.35200000000000004,DVGs_max
Landfowl (Galliformes),D1.1,0.2373,DVGs_max
Landfowl (Galliformes),D1.1,0.6086,DVGs_max
Landfowl (Galliformes),D1.1,0.2274,DVGs_max
Landfowl (Galliformes),D1.1,0.1143,DVGs_max
Landfowl (Galliformes),D1.1,0.8565999999999999,DVGs_max
Landfowl (Galliformes),D1.1,0.1066,DVGs_max
Landfowl (Galliformes),D1.1,0.068,DVGs_max
